NAME,HEIGHT,WEIGHT,REACH,STANCE,DOB,SLpM,StrAcc,SApM,StrDef,TDAvg,TDAcc,TDDef,SubAvg
Cody East,1.905,245.0,72.0,Orthodox,1988.0,4.15,43.0,7.32,40.0,3.97,100.0,16.0,0.0
Ben Earwood,1.7271999999999998,170.0,72.0,Orthodox,1984.0,0.5,55.0,0.2,33.0,3.0,100.0,0.0,0.0
Mike Easton,1.6764,135.0,70.0,Southpaw,1984.0,3.51,37.0,4.28,61.0,0.75,22.0,66.0,0.0
Marvin Eastman,1.7526,185.0,73.0,Orthodox,1971.0,2.21,35.0,3.92,42.0,1.38,33.0,81.0,0.0
Frankie Edgar,1.6764,135.0,68.0,Orthodox,1981.0,3.7,39.0,2.7,66.0,2.28,31.0,65.0,0.3
Ross Ebanez,1.7526,154.0,72.0,Southpaw,1975.0,0.74,50.0,0.74,62.0,3.7,100.0,0.0,0.0
Mark Eddiva,1.7271999999999998,145.0,68.0,Orthodox,1986.0,3.37,45.0,2.98,54.0,1.45,22.0,63.0,0.0
Abdul-Kerim Edilov,1.8796,205.0,72.0,Orthodox,1991.0,10.22,61.0,0.13,92.0,3.98,100.0,0.0,2.0
Brian Ebersole,1.8288,170.0,73.0,Southpaw,1980.0,2.32,49.0,2.14,56.0,1.7,23.0,61.0,0.1
Yves Edwards,1.7526,155.0,73.0,Southpaw,1976.0,2.91,42.0,2.34,66.0,0.76,53.0,69.0,0.7
Johnny Eduardo,1.7018,135.0,71.0,Orthodox,1978.0,2.89,38.0,3.34,63.0,0.0,0.0,62.0,0.5
Justin Edwards,1.778,155.0,70.0,Orthodox,1983.0,2.68,42.0,3.32,51.0,2.14,26.0,27.0,1.0
Leon Edwards,1.8796,170.0,74.0,Southpaw,1991.0,2.53,47.0,2.05,55.0,1.39,31.0,70.0,0.4
Te Edwards,1.7271999999999998,155.0,72.0,Orthodox,1990.0,1.5,41.0,4.15,44.0,0.72,100.0,44.0,0.0
Jon Olav Einemo,1.9812,253.0,72.0,Orthodox,1975.0,2.15,52.0,3.05,52.0,1.73,55.0,43.0,0.0
Stephanie Egger,1.6764,135.0,68.0,Orthodox,1988.0,0.67,31.0,1.33,52.0,1.0,16.0,40.0,0.0
Justin Eilers,1.8542,235.0,72.0,Orthodox,1978.0,2.86,43.0,5.66,49.0,0.82,25.0,50.0,0.0
Per Eklund,1.778,155.0,72.0,Orthodox,1984.0,2.07,61.0,2.38,67.0,2.07,11.0,50.0,3.6
Saul Elizondo,1.7018,135.0,72.0,Orthodox,1985.0,2.07,30.0,4.93,48.0,2.0,100.0,66.0,1.0
Eddy Ellis,1.7526,170.0,72.0,Orthodox,1984.0,3.4,69.0,1.53,68.0,4.0,66.0,50.0,2.0
Lisa Ellis,1.6256,115.0,72.0,Orthodox,1982.0,1.68,48.0,2.32,57.0,4.19,63.0,50.0,0.6
Joe Ellenberger,1.7526,155.0,72.0,Orthodox,1985.0,1.62,47.0,3.45,48.0,3.17,40.0,0.0,1.1
Tim Elliott,1.7018,125.0,66.0,Southpaw,1986.0,3.5,45.0,2.64,59.0,4.02,48.0,58.0,1.2
Jake Ellenberger,1.7526,170.0,71.0,Orthodox,1985.0,2.47,39.0,2.83,60.0,2.04,47.0,86.0,0.4
Darren Elkins,1.778,145.0,71.0,Orthodox,1984.0,3.5,38.0,3.08,52.0,2.7,33.0,58.0,1.2
Aaron Ely,1.7271999999999998,135.0,72.0,Orthodox,1989.0,0.82,15.0,0.66,69.0,2.47,100.0,50.0,4.9
Anna Elmose,1.6001999999999998,115.0,72.0,Orthodox,1984.0,3.68,49.0,4.64,56.0,0.0,0.0,33.0,0.0
Ramazan Emeev,1.778,170.0,76.0,Southpaw,1987.0,2.29,43.0,1.79,68.0,2.0,25.0,72.0,0.6
Aleksander Emelianenko,1.9812,255.0,72.0,Orthodox,1981.0,2.75,41.0,1.7,65.0,2.32,72.0,66.0,0.9
Fedor Emelianenko,1.8288,230.0,74.0,Orthodox,1976.0,3.18,51.0,1.0,63.0,2.0,63.0,82.0,1.9
Jamall Emmers,1.778,145.0,74.0,Orthodox,1989.0,5.75,52.0,4.65,54.0,2.9,53.0,100.0,0.0
Rob Emerson,1.7526,155.0,70.0,Orthodox,1981.0,2.5,30.0,2.83,64.0,2.02,52.0,65.0,0.4
Marius Enache,1.8034,155.0,72.0,Orthodox,1975.0,1.71,34.0,0.66,84.0,3.94,100.0,0.0,3.9
Oliver Enkamp,1.8288,170.0,77.0,Switch,1991.0,2.38,36.0,3.55,37.0,0.87,16.0,0.0,0.0
Josh Emmett,1.6764,145.0,70.0,Orthodox,1985.0,4.32,39.0,4.02,63.0,1.43,47.0,50.0,0.1
Ian Entwistle,1.651,135.0,72.0,Orthodox,1986.0,0.11,7.0,7.36,31.0,0.0,0.0,0.0,12.1
Andy Enz,1.905,185.0,78.0,Orthodox,1991.0,3.51,23.0,5.32,57.0,0.0,0.0,58.0,0.0
Tom Erikson,1.905,280.0,72.0,Orthodox,1984.0,0.94,47.0,1.87,25.0,4.68,60.0,100.0,6.2
Konstantin Erokhin,1.8034,230.0,72.0,Orthodox,1983.0,1.07,36.0,1.83,47.0,0.0,0.0,70.0,0.0
Julian Erosa,1.8542,145.0,74.0,Southpaw,1989.0,4.92,46.0,5.67,50.0,1.34,54.0,58.0,0.9
Chel Erwin-Davis,1.8288,170.0,72.0,Orthodox,1984.0,4.06,54.0,1.13,61.0,4.25,100.0,50.0,1.4
Juan Espino,1.905,250.0,80.0,Orthodox,1980.0,4.32,80.0,0.54,42.0,14.19,77.0,0.0,6.1
Carla Esparza,1.5494,115.0,63.0,Orthodox,1987.0,2.29,42.0,2.85,53.0,3.44,35.0,48.0,0.3
Jordan Espinosa,1.6764,125.0,69.0,Orthodox,1989.0,4.99,53.0,3.23,58.0,0.92,28.0,90.0,0.2
Eric Esch,1.8034,350.0,72.0,Orthodox,1968.0,3.07,71.0,1.74,43.0,0.0,0.0,0.0,2.0
Terry Etim,1.8542,155.0,73.0,Orthodox,1986.0,2.16,35.0,2.53,67.0,0.43,30.0,39.0,1.4
Jodie Esquibel,1.5494,115.0,64.0,Orthodox,1986.0,4.1,31.0,7.37,52.0,0.75,21.0,83.0,0.0
Efrain Escudero,1.7526,155.0,71.0,Orthodox,1986.0,2.92,44.0,2.3,63.0,1.31,40.0,66.0,0.8
Sijara Eubanks,1.6256,135.0,67.0,Orthodox,1985.0,4.52,43.0,3.69,57.0,1.88,46.0,65.0,0.4
Billy Evangelista,1.7271999999999998,155.0,68.0,Orthodox,1980.0,4.51,40.0,3.96,61.0,1.6,19.0,61.0,0.2
Doug Evans,1.7526,155.0,72.0,Orthodox,1980.0,1.79,35.0,2.55,55.0,3.19,83.0,69.0,0.6
Ashlee Evans-Smith,1.7271999999999998,135.0,67.0,Orthodox,1987.0,4.54,34.0,4.69,55.0,1.1,23.0,66.0,0.0
Rashad Evans,1.8288,205.0,75.0,Orthodox,1979.0,2.14,37.0,2.42,63.0,2.98,44.0,73.0,0.0
Dan Evensen,1.905,250.0,72.0,Orthodox,1974.0,0.27,10.0,3.86,38.0,0.0,0.0,0.0,4.0
Neal Ewing,1.778,185.0,72.0,Orthodox,1985.0,2.27,60.0,1.93,48.0,5.0,62.0,0.0,0.0
Movsar Evloev,1.7018,145.0,72.0,Orthodox,1994.0,4.44,43.0,2.76,65.0,3.0,33.0,68.0,0.0
Andre Ewell,1.7271999999999998,135.0,75.0,Southpaw,1988.0,4.5,41.0,4.2,54.0,0.17,50.0,73.0,0.0
Tonya Evinger,1.7018,135.0,70.0,Orthodox,1981.0,1.16,42.0,4.02,38.0,0.93,30.0,33.0,0.9
Cole Escovedo,1.7018,135.0,72.0,Orthodox,1981.0,1.77,43.0,4.32,49.0,0.43,33.0,13.0,0.0
Edward Faaloloto,1.778,155.0,70.0,Orthodox,1984.0,2.28,32.0,6.25,44.0,1.01,25.0,33.0,0.0
Jessica Eye,1.6764,125.0,66.0,Orthodox,1986.0,3.65,36.0,3.54,58.0,0.4,45.0,56.0,0.6
Bartosz Fabinski,1.8288,170.0,75.0,Orthodox,1986.0,2.2,69.0,1.35,53.0,7.08,69.0,80.0,0.0
Wagnney Fabiano,1.6764,145.0,69.0,Southpaw,1975.0,1.19,38.0,0.66,70.0,3.44,64.0,100.0,0.4
Maiquel Falcao,1.8034,185.0,72.0,Orthodox,1981.0,1.67,55.0,0.53,86.0,1.0,100.0,71.0,3.0
Urijah Faber,1.6764,135.0,67.0,Orthodox,1979.0,2.65,40.0,2.59,64.0,1.54,30.0,58.0,0.8
Zarah Fairn,1.7271999999999998,145.0,72.0,Orthodox,1986.0,1.98,45.0,6.61,39.0,0.0,0.0,50.0,0.0
Joao Paulo Faria,1.7526,155.0,72.0,Orthodox,1984.0,6.69,64.0,2.09,85.0,1.25,50.0,0.0,1.2
Brodie Farber,1.8542,170.0,72.0,Orthodox,1980.0,1.69,45.0,2.17,53.0,0.9,50.0,20.0,0.9
Kalindra Faria,1.7018,125.0,72.0,Switch,1986.0,2.23,56.0,1.44,45.0,1.31,66.0,20.0,0.7
Chance Farrar,1.7526,145.0,72.0,Southpaw,1975.0,0.81,22.0,2.21,67.0,3.02,100.0,0.0,0.0
Rodney Faverus,1.8288,215.0,72.0,Southpaw,1984.0,2.3,53.0,1.6,54.0,4.5,100.0,25.0,0.0
Kelly Faszholz,1.7271999999999998,135.0,72.0,Orthodox,1985.0,4.01,48.0,3.61,52.0,0.0,0.0,44.0,0.0
Paul Felder,1.8034,155.0,70.0,Orthodox,1984.0,3.7,44.0,3.44,48.0,0.29,28.0,64.0,0.2
Carlos Felipe,1.8288,245.0,75.0,Orthodox,1995.0,4.07,40.0,4.03,51.0,0.0,0.0,62.0,0.0
Kevin Ferguson,1.8796,235.0,77.0,Orthodox,1974.0,2.3,50.0,3.41,38.0,3.1,72.0,36.0,1.2
Tony Ferguson,1.8034,155.0,76.0,Orthodox,1984.0,5.46,45.0,3.94,59.0,0.45,42.0,70.0,1.1
Josh Ferguson,1.651,125.0,72.0,Orthodox,1988.0,2.13,43.0,4.18,32.0,0.59,11.0,54.0,0.0
Bibiano Fernandes,1.7018,139.0,72.0,Orthodox,1980.0,2.91,40.0,2.02,72.0,3.97,53.0,77.0,0.6
Rico Farrington,1.9304,170.0,79.0,Southpaw,1989.0,6.33,41.0,7.2,51.0,0.0,0.0,20.0,0.0
Cezar Ferreira,1.8542,185.0,78.0,Southpaw,1985.0,1.9,42.0,2.44,53.0,2.69,53.0,84.0,0.5
Diego Ferreira,1.7526,155.0,74.0,Orthodox,1985.0,5.07,36.0,3.11,61.0,1.04,27.0,70.0,1.0
Drew Fickett,1.778,155.0,70.0,Orthodox,1979.0,2.33,41.0,2.29,57.0,1.3,35.0,30.0,2.2
Edwin Figueroa,1.7018,135.0,69.0,Orthodox,1984.0,2.57,39.0,3.06,51.0,0.2,100.0,37.0,0.6
Paulo Filho,1.7271999999999998,185.0,72.0,Southpaw,1978.0,1.86,48.0,1.67,66.0,2.4,32.0,42.0,1.6
Deiveson Figueiredo,1.651,125.0,68.0,Orthodox,1987.0,3.38,56.0,3.35,50.0,1.57,50.0,61.0,2.4
Andre Fili,1.8034,145.0,74.0,Orthodox,1990.0,3.73,36.0,3.9,52.0,2.5,49.0,64.0,0.2
Brady Fink,1.8288,183.0,72.0,Orthodox,1984.0,1.69,41.0,1.69,61.0,3.63,25.0,0.0,3.6
Mirko Filipovic,1.8796,230.0,73.0,Southpaw,1974.0,2.11,50.0,1.89,63.0,0.19,40.0,78.0,0.3
Luiz Firmino,1.6764,154.0,72.0,Orthodox,1982.0,1.23,50.0,1.22,51.0,3.86,45.0,20.0,0.9
Jan Finney,1.7271999999999998,135.0,72.0,Orthodox,1984.0,2.16,28.0,8.75,42.0,0.77,11.0,25.0,0.0
Chris Fishgold,1.7271999999999998,145.0,68.0,Orthodox,1992.0,2.01,32.0,2.7,46.0,2.59,46.0,44.0,1.3
Luigi Fioravanti,1.7271999999999998,170.0,70.0,Orthodox,1981.0,2.23,42.0,2.21,69.0,3.76,63.0,67.0,0.9
Jon Fitch,1.8288,170.0,74.0,Orthodox,1978.0,2.61,50.0,1.65,54.0,3.6,51.0,56.0,0.8
Bryanna Fissori,1.6256,145.0,72.0,Orthodox,1984.0,1.4,46.0,1.2,57.0,2.0,25.0,50.0,0.0
Spencer Fisher,1.7018,155.0,68.0,Southpaw,1976.0,3.17,43.0,3.03,64.0,0.67,30.0,60.0,0.8
Ty Flores,1.905,205.0,73.0,Switch,1993.0,2.0,37.0,7.8,25.0,1.0,9.0,0.0,0.0
Colin Fletcher,1.8796,155.0,72.0,Orthodox,1983.0,3.1,34.0,2.97,62.0,0.0,0.0,27.0,0.0
Luke Flores,1.8288,155.0,73.0,Southpaw,1988.0,1.56,44.0,1.88,60.0,0.0,0.0,40.0,1.2
Jimmy Flick,1.7018,125.0,68.0,Orthodox,1990.0,1.99,58.0,2.3,50.0,1.81,50.0,0.0,7.2
Rafael Fiziev,1.7271999999999998,155.0,71.0,Switch,1993.0,4.67,57.0,4.17,55.0,0.84,50.0,100.0,0.0
Caros Fodor,1.7526,155.0,74.0,Orthodox,1984.0,2.76,54.0,2.83,54.0,2.1,25.0,50.0,0.0
Rob Font,1.7271999999999998,135.0,71.0,Orthodox,1987.0,5.21,42.0,3.83,62.0,1.2,36.0,48.0,0.8
Jesse Forbes,1.8796,185.0,75.0,Southpaw,1984.0,2.11,24.0,4.06,53.0,1.79,75.0,66.0,1.2
Jussier Formiga,1.651,125.0,67.0,Orthodox,1985.0,1.42,39.0,2.34,64.0,1.82,35.0,87.0,0.6
Renee Forte,1.7018,155.0,71.0,Orthodox,1987.0,2.08,32.0,2.12,63.0,2.32,58.0,66.0,0.0
Brian Foster,1.7526,170.0,71.0,Orthodox,1984.0,3.3,39.0,1.63,65.0,3.67,60.0,37.0,1.8
Marcel Fortuna,1.8542,205.0,74.0,Orthodox,1985.0,3.83,46.0,4.52,64.0,0.45,8.0,75.0,0.5
Xavier Foupa-Pokam,1.8542,185.0,72.0,Open Stance,1982.0,1.47,43.0,2.5,49.0,0.0,0.0,16.0,0.0
Glaico Franca Moreira,1.8288,155.0,77.0,Orthodox,1991.0,2.35,42.0,3.46,47.0,2.68,42.0,76.0,0.3
Hermes Franca,1.6764,155.0,71.0,Orthodox,1974.0,1.78,39.0,2.85,55.0,1.53,36.0,37.0,2.4
Kenny Florian,1.778,145.0,74.0,Southpaw,1976.0,2.41,40.0,1.85,63.0,2.22,33.0,60.0,1.3
John Franchi,1.6764,145.0,67.0,Orthodox,1982.0,1.83,48.0,2.59,48.0,2.68,80.0,40.0,0.3
Rich Franklin,1.8542,185.0,76.0,Southpaw,1974.0,4.1,44.0,2.07,62.0,1.31,66.0,63.0,0.7
Patricio Freire,1.651,145.0,65.0,Orthodox,1987.0,2.84,41.0,4.43,60.0,0.6,18.0,94.0,0.6
Patricky Freire,1.7018,155.0,71.0,Orthodox,1986.0,3.06,44.0,3.34,69.0,1.26,33.0,100.0,0.0
Willamy Freire,1.7271999999999998,155.0,72.0,Orthodox,1987.0,1.53,37.0,0.93,62.0,0.5,100.0,73.0,0.0
Ian Freeman,1.8034,225.0,72.0,Orthodox,1966.0,2.54,48.0,3.11,44.0,1.44,40.0,80.0,0.7
Donavon Frelow,1.7018,135.0,72.0,Orthodox,1985.0,2.4,27.0,3.2,52.0,1.0,100.0,26.0,0.0
Rafael Freitas,1.778,205.0,72.0,Orthodox,1984.0,2.0,29.0,8.0,51.0,11.25,50.0,0.0,0.0
Sarah Frota,1.6764,125.0,69.0,Southpaw,1987.0,4.52,52.0,2.57,55.0,0.0,0.0,53.0,0.0
Tony Fryklund,1.8288,185.0,72.0,Orthodox,1971.0,3.49,39.0,6.5,43.0,0.0,0.0,66.0,0.5
Don Frye,1.8542,219.0,72.0,Orthodox,1965.0,2.87,64.0,3.57,37.0,0.91,57.0,45.0,0.7
Jesse Fujarczyk,1.9304,225.0,72.0,Southpaw,1983.0,1.03,33.0,4.91,38.0,0.0,0.0,25.0,0.0
Matt Frevola,1.7526,155.0,71.0,Orthodox,1990.0,3.19,39.0,3.47,60.0,3.3,40.0,75.0,1.4
Mike French,1.778,145.0,72.0,Orthodox,1975.0,0.23,23.0,2.17,42.0,0.0,0.0,22.0,1.0
Katsuhisa Fujii,1.8288,205.0,72.0,Orthodox,1972.0,4.0,50.0,4.43,64.0,2.14,25.0,50.0,2.1
Clay French,1.7018,161.0,72.0,Southpaw,1980.0,1.52,50.0,1.27,16.0,0.0,0.0,100.0,0.0
Jinh Yu Frey,1.6001999999999998,115.0,65.0,Southpaw,1985.0,1.9,48.0,4.05,42.0,0.55,25.0,83.0,0.0
Masio Fullen,1.778,145.0,70.0,Orthodox,1986.0,2.46,32.0,3.5,54.0,0.47,33.0,69.0,0.0
Keisuke Fujiwara,1.6764,139.0,72.0,Switch,1984.0,0.73,44.0,1.2,47.0,0.0,0.0,23.0,2.5
Riki Fukuda,1.8288,185.0,73.0,Southpaw,1981.0,4.24,43.0,3.71,64.0,2.17,43.0,70.0,0.0
Kazuyuki Fujita,1.8288,235.0,72.0,Orthodox,1970.0,1.05,49.0,1.99,52.0,2.78,36.0,85.0,0.6
Masakatsu Funaki,1.8288,185.0,72.0,Southpaw,1969.0,1.82,68.0,2.92,35.0,0.0,0.0,0.0,5.5
Ricardo Funch,1.778,170.0,74.0,Southpaw,1980.0,2.61,65.0,3.57,40.0,1.24,18.0,60.0,0.0
Gustavo Gabriel,1.6764,125.0,72.0,Orthodox,1994.0,4.06,65.0,4.26,46.0,0.0,0.0,50.0,0.0
Claudia Gadelha,1.6256,115.0,63.0,Orthodox,1988.0,3.31,41.0,4.57,57.0,3.03,42.0,58.0,0.7
Alavutdin Gadjiev,1.8796,185.0,72.0,Orthodox,1982.0,0.99,27.0,0.99,57.0,0.0,0.0,50.0,0.0
Justin Gaethje,1.8034,155.0,70.0,Orthodox,1988.0,7.46,59.0,7.99,55.0,0.0,0.0,69.0,0.0
Zelg Galesic,1.8796,185.0,72.0,Orthodox,1979.0,4.86,62.0,0.61,66.0,1.3,100.0,20.0,1.3
Mickey Gall,1.8796,170.0,74.0,Switch,1992.0,2.55,46.0,3.65,42.0,1.15,26.0,40.0,2.1
Mitch Gagnon,1.651,135.0,65.0,Southpaw,1984.0,2.76,46.0,2.21,61.0,1.16,25.0,65.0,1.9
Dave Galera,1.8034,135.0,72.0,Orthodox,1978.0,1.67,69.0,0.53,33.0,0.0,0.0,14.0,2.0
Travis Galbraith,1.8288,170.0,72.0,Orthodox,1981.0,2.21,40.0,3.45,48.0,1.33,25.0,0.0,1.3
Sheila Gaff,1.651,135.0,72.0,Orthodox,1989.0,1.6,50.0,2.89,28.0,0.0,0.0,20.0,0.0
Tom Gallicchio,1.778,170.0,72.0,Southpaw,1986.0,3.53,26.0,7.07,43.0,1.0,11.0,0.0,0.0
Andre Galvao,1.7018,168.0,72.0,Orthodox,1982.0,2.34,52.0,1.56,58.0,2.02,27.0,0.0,2.8
Joey Gambino,1.7018,145.0,72.0,Orthodox,1988.0,2.47,35.0,2.53,51.0,0.0,0.0,42.0,0.8
Marcos Galvao,1.7018,135.0,72.0,Orthodox,1981.0,1.97,32.0,3.86,61.0,2.27,28.0,88.0,1.1
Ciryl Gane,1.9304,245.0,81.0,Orthodox,1990.0,5.61,54.0,1.95,73.0,1.08,60.0,100.0,0.7
Ariel Gandulla,1.8034,205.0,72.0,Orthodox,1968.0,1.95,23.0,2.07,72.0,1.88,66.0,0.0,0.0
Mateusz Gamrot,1.778,155.0,70.0,Southpaw,1990.0,3.47,41.0,2.47,56.0,5.0,31.0,100.0,0.0
Manvel Gamburyan,1.651,135.0,67.0,Orthodox,1981.0,2.13,41.0,2.83,55.0,3.26,34.0,69.0,0.7
Shamil Gamzatov,1.8796,205.0,76.0,Orthodox,1990.0,4.27,46.0,2.13,58.0,0.0,0.0,50.0,0.0
Eduardo Garagorri,1.7526,145.0,70.0,Orthodox,1989.0,3.42,51.0,2.36,58.0,0.48,100.0,61.0,0.0
Edgar Garcia,1.778,170.0,71.0,Orthodox,1984.0,3.16,29.0,4.23,60.0,2.21,57.0,50.0,0.6
Alejandro Garcia,1.7018,145.0,72.0,Orthodox,1984.0,1.22,62.0,1.14,65.0,8.55,87.0,66.0,0.0
Leonard Garcia,1.778,145.0,68.0,Orthodox,1979.0,2.77,24.0,4.79,52.0,0.3,26.0,42.0,0.5
Alex Garcia,1.7526,170.0,72.0,Orthodox,1987.0,1.81,31.0,3.03,59.0,3.72,52.0,66.0,0.1
Cody Garbrandt,1.7271999999999998,135.0,65.0,Orthodox,1991.0,3.35,37.0,3.33,65.0,0.84,33.0,100.0,0.0
Steve Garcia,1.8288,155.0,75.0,Southpaw,1992.0,4.31,55.0,2.52,36.0,0.61,25.0,100.0,0.6
Elias Garcia,1.651,125.0,67.0,Southpaw,1992.0,1.59,27.0,5.05,50.0,0.68,14.0,33.0,1.4
Rulon Gardner,1.905,265.0,72.0,Orthodox,1971.0,2.05,25.0,1.45,60.0,0.75,100.0,100.0,0.0
Azamat Gashimov,1.6764,125.0,72.0,Orthodox,1990.0,1.24,21.0,4.75,53.0,1.69,25.0,0.0,0.0
Pablo Garza,1.8542,145.0,73.0,Orthodox,1983.0,3.37,44.0,2.7,50.0,0.94,25.0,15.0,1.3
Willie Gates,1.7271999999999998,125.0,72.0,Orthodox,1987.0,1.8,38.0,4.28,38.0,0.0,0.0,67.0,0.4
Kelvin Gastelum,1.7526,185.0,71.0,Southpaw,1991.0,3.72,43.0,3.0,59.0,0.87,37.0,63.0,0.1
Brian Gassaway,1.8542,170.0,72.0,Orthodox,1972.0,0.34,26.0,3.65,44.0,0.0,0.0,42.0,0.0
Louis Gaudinot,1.6001999999999998,125.0,63.0,Orthodox,1984.0,2.34,37.0,6.42,48.0,0.57,40.0,31.0,1.1
Chad George,1.6764,135.0,68.0,Southpaw,1982.0,1.26,50.0,1.11,65.0,3.08,46.0,0.0,1.3
Brian Geraghty,1.7018,155.0,72.0,Orthodox,1980.0,0.47,25.0,9.77,36.0,0.0,0.0,50.0,0.0
Tiki Ghosn,1.778,170.0,72.0,Orthodox,1977.0,2.78,46.0,2.94,58.0,0.41,50.0,61.0,0.0
Joe Giannetti,1.8288,155.0,74.0,Southpaw,1995.0,1.93,38.0,2.8,40.0,1.0,16.0,0.0,0.0
Christos Giagos,1.778,155.0,71.0,Orthodox,1990.0,2.88,41.0,2.59,51.0,3.11,39.0,50.0,0.3
Cody Gibson,1.778,135.0,71.0,Orthodox,1987.0,2.47,31.0,2.54,63.0,1.85,38.0,58.0,0.4
Thomas Gifford,1.8542,155.0,75.0,Orthodox,1992.0,3.97,37.0,6.45,37.0,0.5,33.0,33.0,0.0
Joseph Gigliotti,1.8034,185.0,72.0,Orthodox,1993.0,1.04,39.0,2.92,45.0,1.56,100.0,50.0,0.8
Kultar Gill,1.8288,154.0,72.0,Orthodox,1979.0,1.14,50.0,0.4,41.0,1.71,66.0,38.0,0.0
Trevin Giles,1.8288,185.0,74.0,Orthodox,1992.0,3.57,57.0,1.83,64.0,1.45,87.0,80.0,0.2
Alex Gilpin,1.7018,145.0,72.0,Orthodox,1992.0,6.8,54.0,12.29,42.0,2.17,25.0,0.0,2.2
Gregor Gillespie,1.7018,155.0,71.0,Orthodox,1986.0,3.58,49.0,2.14,60.0,7.02,47.0,0.0,0.9
Billy Giovanella,1.7271999999999998,125.0,72.0,Orthodox,1985.0,1.27,40.0,2.02,52.0,0.87,12.0,100.0,1.7
Brandon Girtz,1.7018,155.0,72.0,Orthodox,1985.0,2.5,60.0,1.92,47.0,5.76,100.0,100.0,0.0
Jason Glaza,1.8288,230.0,72.0,Orthodox,1984.0,4.34,54.0,0.43,40.0,4.34,100.0,0.0,4.3
Rick Glenn,1.8288,145.0,70.0,Southpaw,1989.0,4.31,42.0,4.29,53.0,0.67,13.0,66.0,0.3
Mark Godbeer,1.9304,240.0,77.0,Orthodox,1983.0,3.97,53.0,3.3,54.0,0.0,0.0,28.0,0.0
Clint Godfrey,1.6764,135.0,72.0,Southpaw,1982.0,0.57,31.0,0.96,65.0,0.85,25.0,50.0,0.0
Hannah Goldy,1.6256,125.0,61.0,Orthodox,1992.0,6.53,46.0,3.9,55.0,0.0,0.0,66.0,0.0
Allan Goes,1.8288,205.0,72.0,Orthodox,1971.0,0.64,52.0,1.35,41.0,1.75,40.0,0.0,2.6
Sergio Gomez,1.6764,155.0,72.0,Orthodox,1982.0,1.5,42.0,1.16,56.0,2.57,66.0,31.0,0.0
Frank Gomez,1.778,135.0,67.0,Orthodox,1986.0,1.52,48.0,0.79,66.0,1.14,60.0,70.0,0.8
Marcelo Golm,1.905,249.0,75.0,Orthodox,1992.0,4.27,58.0,4.3,45.0,0.45,50.0,87.0,0.5
Joey Gomez,1.778,135.0,73.0,Orthodox,1986.0,2.44,28.0,4.46,55.0,0.62,100.0,50.0,0.0
Joey Gomez,1.778,155.0,71.0,Orthodox,1989.0,3.73,49.0,3.33,50.0,2.0,28.0,0.0,0.0
Luis Gomez,1.7018,145.0,68.0,Orthodox,1995.0,1.57,33.0,4.03,55.0,4.48,50.0,33.0,0.0
Fernando Gonzalez,1.7526,170.0,68.0,Southpaw,1983.0,4.47,47.0,4.03,65.0,0.86,33.0,43.0,1.4
Nick Gonzalez,1.6764,155.0,72.0,Orthodox,1981.0,0.59,20.0,2.35,33.0,0.0,0.0,50.0,0.0
Akihiro Gono,1.7018,170.0,68.0,Switch,1974.0,2.18,48.0,2.67,63.0,1.01,84.0,46.0,0.5
Lewis Gonzalez,1.778,170.0,72.0,Orthodox,1987.0,1.4,37.0,1.87,41.0,2.0,33.0,62.0,0.0
Justin Gonzales,1.7526,145.0,72.0,Orthodox,1991.0,6.67,80.0,0.87,43.0,14.0,73.0,100.0,0.0
Gabriel Gonzaga,1.8796,242.0,76.0,Orthodox,1979.0,2.12,45.0,2.94,57.0,2.8,39.0,66.0,1.1
Takanori Gomi,1.7018,155.0,70.0,Southpaw,1978.0,3.81,41.0,3.52,60.0,1.23,65.0,63.0,0.8
Jason Gonzalez,1.8796,155.0,74.0,Southpaw,1990.0,3.06,39.0,3.13,58.0,0.0,0.0,30.0,1.0
Pearl Gonzalez,1.6256,115.0,72.0,Orthodox,1986.0,2.23,37.0,4.07,57.0,1.04,11.0,0.0,0.5
Jared Gooden,1.8288,170.0,77.0,Orthodox,1993.0,6.67,47.0,11.2,49.0,1.0,100.0,100.0,0.0
Lyman Good,1.8288,170.0,74.0,Orthodox,1985.0,5.34,48.0,4.01,63.0,0.27,100.0,75.0,0.0
Gary Goodridge,1.905,249.0,72.0,Orthodox,1966.0,1.84,56.0,2.14,48.0,0.4,100.0,53.0,0.8
Tim Gorman,1.651,135.0,72.0,Southpaw,1983.0,2.73,31.0,5.57,46.0,1.0,9.0,33.0,0.0
Jared Gordon,1.7526,145.0,68.0,Orthodox,1988.0,5.55,55.0,3.35,59.0,2.98,41.0,62.0,0.0
Eddie Gordon,1.8288,185.0,76.0,Orthodox,1983.0,2.03,32.0,2.57,60.0,1.93,83.0,63.0,0.0
Alex Gorgees,1.8796,155.0,74.0,Switch,1995.0,0.67,32.0,2.27,38.0,0.0,0.0,54.0,0.0
Chase Gormley,1.905,265.0,72.0,Orthodox,1984.0,3.6,42.0,6.03,44.0,3.12,42.0,0.0,1.0
Jonathan Goulet,1.8288,170.0,73.0,Orthodox,1979.0,1.61,41.0,2.01,46.0,4.17,70.0,45.0,0.6
Thibault Gouti,1.778,155.0,72.0,Orthodox,1987.0,3.68,34.0,5.64,50.0,1.23,80.0,83.0,0.3
