NAME,HEIGHT,WEIGHT,REACH,STANCE,DOB,SLpM,StrAcc,SApM,StrDef,TDAvg,TDAcc,TDDef,SubAvg
Thomas Almeida,1.7018,145.0,70.0,Southpaw,1991.0,5.39,44.0,4.69,64.0,0.0,0.0,75.0,0.0
Ali AlQaisi,1.6764,135.0,68.0,Orthodox,1990.0,2.43,42.0,1.97,56.0,3.5,29.0,60.0,1.0
Eddie Alvarez,1.7526,155.0,69.0,Orthodox,1984.0,4.32,41.0,4.39,55.0,2.92,36.0,92.0,0.5
Jaime Alvarez,1.7271999999999998,125.0,69.0,Orthodox,1988.0,2.73,40.0,4.53,56.0,1.0,33.0,50.0,0.0
Thiago Alves,1.7526,170.0,70.0,Orthodox,1983.0,3.73,41.0,3.42,62.0,0.71,60.0,63.0,0.3
Joel Alvarez,1.905,155.0,77.0,Orthodox,1994.0,2.84,37.0,3.31,53.0,0.0,0.0,0.0,1.6
Amilcar Alves,1.8288,170.0,72.0,Southpaw,1988.0,0.5,46.0,2.02,30.0,0.0,0.0,53.0,0.0
Sam Alvey,1.8796,205.0,75.0,Southpaw,1986.0,3.17,44.0,3.26,55.0,0.08,16.0,82.0,0.1
Warlley Alves,1.8034,170.0,72.0,Orthodox,1991.0,3.01,46.0,3.69,50.0,1.39,52.0,75.0,1.0
Adlan Amagov,1.8796,170.0,76.0,Orthodox,1986.0,3.29,47.0,0.82,78.0,5.84,56.0,100.0,0.0
Rafael Alves,1.7271999999999998,145.0,68.0,Orthodox,1990.0,2.02,45.0,3.66,59.0,0.0,0.0,100.0,1.9
Maiara Amanajas dos Santos,1.651,115.0,72.0,Southpaw,1987.0,5.53,35.0,24.47,33.0,0.0,0.0,100.0,0.0
Jimmy Ambriz,1.8796,315.0,72.0,Southpaw,1970.0,0.83,29.0,3.76,40.0,3.13,57.0,100.0,0.8
Makwan Amirkhani,1.778,145.0,72.0,Southpaw,1988.0,1.42,44.0,2.63,51.0,3.37,37.0,57.0,1.4
Eryk Anders,1.8542,185.0,75.0,Southpaw,1987.0,3.02,45.0,4.18,51.0,1.34,34.0,80.0,0.1
Karl Amoussou,1.8034,185.0,72.0,Orthodox,1985.0,1.47,34.0,2.67,54.0,0.0,0.0,25.0,1.0
Megan Anderson,1.8288,145.0,72.0,Orthodox,1990.0,1.82,46.0,2.94,38.0,0.56,33.0,53.0,0.6
Derek Anderson,1.8288,155.0,72.0,Orthodox,1990.0,3.97,37.0,3.08,61.0,0.34,14.0,60.0,0.0
Corey Anderson,1.905,205.0,79.0,Orthodox,1989.0,4.43,46.0,2.22,59.0,4.89,50.0,83.0,0.0
