Name,HEIGHT,WEIGHT,REACH,STANCE,DOB,SLpM,Str. Acc..,SApM,Str. Def,TD Avg,TD Acc,TD Def.,Sub. Avg
Adrian Diaz,1.778,145 ,,Southpaw, 1988,0.48,42,3.84,51,2.4,50,0,0.0
Josh Diekmann,1.6256,246 ,,, 1976,0.28,5,8.17,25,0.0,0,0,0.0
Mark Dickman,1.7526,145 ,,, 1984,0.0,0,0.0,0,0.0,0,0,0.0
Kyle Dietz,1.7271999999999998,135 ,,Orthodox, 1986,1.82,45,2.08,62,0.0,0,0,0.0
Drew Dimanlig,,185 ,,,,3.7,73,3.17,20,0.0,0,0,0.0
Seth Dikun,1.778,135 ,69,Orthodox, 1980,1.45,26,2.18,55,0.0,0,45,0.9
TJ Dillashaw,1.6764,125 ,67,Orthodox, 1986,5.37,41,3.03,65,1.68,37,86,1.0
Ralph Dillon,1.8796,205 ,,Orthodox,,0.34,14,0.69,60,0.0,0,0,0.0
Helio Dipp,1.9558,185 ,,Orthodox,,0.6,25,1.8,62,0.0,0,50,0.0
Rodolfo Marques Diniz,1.6764,135 ,,, 1984,1.08,32,2.36,33,0.0,0,50,1.8
Rico DiSciullo,1.7271999999999998,135 ,,Orthodox, 1986,1.71,33,4.41,56,0.0,0,0,0.0
Anthony Do,1.6256,125 ,,,,0.0,0,0.0,0,0.0,0,0,0.0
Matt Dixon,1.778,170 ,75,Switch, 1995,1.97,43,4.56,37,3.06,30,0,0.0
John Dixson,1.8288,275 ,,Orthodox,,0.0,0,0.0,0,0.0,0,0,0.0
Russell Doane,1.7018,135 ,70,Orthodox, 1986,1.75,40,1.68,53,2.11,45,52,0.8
Drew Dober,1.7271999999999998,155 ,70,Southpaw, 1988,4.66,40,4.12,55,0.88,17,58,0.1
Mike Dolce,1.8034,185 ,,, 1976,0.0,0,0.0,0,0.0,0,0,0.0
Shana Dobson,1.6764,125 ,69,Orthodox, 1989,3.63,36,5.11,53,1.0,50,0,0.0
Joe Doerksen,1.8288,185 ,75,Orthodox, 1977,1.43,42,2.79,50,2.02,33,33,2.3
David Dodd,1.8796,200 ,,Orthodox, 1973,0.0,0,0.0,0,0.0,0,0,0.0
John Dodson,1.6001999999999998,135 ,66,Orthodox, 1984,3.2,40,3.58,61,0.71,28,82,0.0
Cameron Dollar,1.8034,155 ,,Orthodox, 1987,5.04,38,2.94,61,0.0,0,0,0.0
Roman Dolidze,1.8796,205 ,76,Orthodox, 1988,3.64,53,1.71,67,2.34,60,0,2.3
CB Dollaway,1.8796,185 ,76,Orthodox, 1983,2.65,47,2.58,54,3.55,54,62,1.2
Dennis Dombrow,,145 ,,, 1986,0.0,0,0.0,0,0.0,0,0,0.0
OJ Dominguez,,,,,,0.0,0,0.0,0,0.0,0,0,0.0
John Donaldson,1.7271999999999998,145 ,,, 1992,1.21,23,4.22,51,0.0,0,0,0.0
Cody Donovan,1.905,205 ,74,Orthodox, 1981,5.61,59,5.44,45,1.67,28,0,1.7
Houston Dorr,1.8541999999999998,210 ,,Orthodox,,0.0,0,0.0,0,0.0,0,0,0.0
Rafael Dos Anjos,1.7271999999999998,155 ,70,Southpaw, 1984,3.49,46,3.22,61,1.93,37,58,0.6
Junior Dos Santos,1.9304,238 ,77,Orthodox, 1984,4.49,47,3.33,56,0.3,50,81,0.1
Anderson Dos Santos,1.651,135 ,70,Orthodox, 1985,2.66,28,4.8,55,1.3,18,66,0.9
Oleksandr Doskalchuk,1.6764,125 ,,Southpaw, 1990,0.0,0,0.0,0,0.0,0,0,0.0
Antonio Dos Santos,1.778,185 ,,Orthodox, 1988,5.4,51,3.94,43,0.0,0,100,0.0
Tiago dos Santos e Silva,1.7526,145 ,70,Orthodox, 1987,3.69,35,4.23,59,0.63,11,33,0.3
David Douglas,1.8034,155 ,,, 1981,0.0,0,0.0,0,0.0,0,0,0.0
Damion Douglas,,170 ,,,,0.0,0,0.0,0,0.0,0,0,0.0
Geronimo dos Santos,1.905,264 ,,Orthodox, 1980,1.09,33,8.73,41,0.0,0,33,0.0
Jordan Dowdy,,170 ,,,,2.11,44,2.63,50,0.0,0,0,0.0
Derek Downey,1.8541999999999998,185 ,,Orthodox, 1980,0.32,100,3.36,12,2.4,16,0,0.0
John Dowdy,,,,,,0.0,0,0.0,0,0.0,0,0,0.0
John Doyle,1.8034,205 ,,Orthodox, 1976,3.5,44,10.51,27,0.0,0,0,0.0
Danny Downes,1.8288,155 ,72,Orthodox, 1986,1.66,34,3.53,37,0.0,0,37,0.5
Edson Drago,1.9304,220 ,,Orthodox, 1977,1.16,40,2.39,36,0.0,0,55,0.0
Kyle Driscoll,1.8034,145 ,74,Orthodox, 1994,2.73,32,2.6,58,2.0,18,0,0.0
Chris Drumm,1.7271999999999998,145 ,,,,0.0,0,0.0,0,0.0,0,0,0.0
Tomasz Drwal,1.8541999999999998,205 ,76,Orthodox, 1982,3.29,38,2.26,57,3.55,60,82,0.4
Dricus Du Plessis,1.8541999999999998,185 ,76,Switch, 1994,7.72,44,4.16,67,0.0,0,0,0.0
Robert Drysdale,1.905,205 ,,Orthodox, 1981,0.0,0,0.0,0,7.32,100,0,21.9
Hugo Duarte,1.8288,240 ,,Orthodox, 1968,0.0,0,0.0,0,0.0,0,0,0.0
Antonio Duarte,1.7018,135 ,,,,4.55,40,4.18,57,0.0,0,60,0.0
Milana Dudieva,1.6001999999999998,135 ,,Orthodox, 1989,0.87,31,3.43,58,2.34,45,0,0.0
Joe Duarte,,155 ,,, 1977,2.27,38,4.0,53,3.0,50,69,1.0
Adin Duenas,1.6764,145 ,,, 1988,0.0,0,0.0,0,0.0,0,0,0.0
Alexis Dufresne,1.7526,135 ,,Orthodox, 1990,1.33,27,3.33,60,1.5,50,50,0.0
Todd Duffee,1.905,260 ,78,Orthodox, 1985,5.93,37,2.87,56,0.72,25,90,0.0
Joe Duffy,1.778,155 ,73,Orthodox, 1988,2.68,34,3.78,54,0.96,66,64,0.7
Jessamyn Duke,1.8034,135 ,73,Orthodox, 1986,4.83,53,4.43,57,1.27,36,50,1.9
Kelly Dullanty,1.7271999999999998,155 ,,Orthodox, 1977,0.0,0,0.67,75,0.0,0,66,0.0
Norma Dumont,1.7018,135 ,67,Orthodox, 1990,5.35,55,2.65,72,2.43,42,100,0.0
Tom Duquesnoy,1.7018,135 ,68,Orthodox, 1993,3.83,45,5.3,62,0.42,25,46,0.0
Reuben Duran,1.7018,135 ,71,Orthodox, 1983,3.19,49,2.61,50,0.98,23,25,0.7
Evan Dunham,1.778,155 ,70,Southpaw, 1981,5.33,39,3.54,61,1.82,33,79,1.0
Luiz Dutra,1.8034,170 ,,Orthodox, 1982,3.92,50,4.8,41,0.0,0,100,0.0
Alex Dunworth,1.7271999999999998,155 ,,,,1.94,31,8.71,35,0.0,0,50,0.0
Bill Duvall,1.8796,185 ,,Southpaw,,0.0,0,2.4,40,0.0,0,0,0.0
Rilley Dutro,1.7271999999999998,125 ,,Orthodox, 1987,4.74,54,5.95,33,0.0,0,83,0.0
Cody Durden,1.7018,125 ,67,Southpaw, 1991,3.11,48,3.93,41,3.28,26,50,0.8
Merab Dvalishvili,1.6764,135 ,68,Orthodox, 1991,3.91,39,2.08,61,7.71,43,80,0.3
David Dvorak,1.651,125 ,68,Orthodox, 1992,4.5,48,3.17,63,0.0,0,75,0.0
Matt Dwyer,1.9304,170 ,76,Orthodox, 1989,2.57,34,3.24,54,0.44,10,60,0.0
Rolando Dy,1.7271999999999998,145 ,69,Orthodox, 1990,3.04,37,4.47,52,0.3,20,68,0.0
Cody East,1.905,245 ,,Orthodox, 1988,4.15,43,7.32,40,3.97,100,16,0.0
Ben Earwood,1.7271999999999998,170 ,,Orthodox,,0.5,55,0.2,33,3.0,100,0,0.0
Mike Easton,1.6764,135 ,70,Southpaw, 1984,3.51,37,4.28,61,0.75,22,66,0.0
Marvin Eastman,1.7526,185 ,73,Orthodox, 1971,2.21,35,3.92,42,1.38,33,81,0.0
Maurice Eazel,1.7018,135 ,,,,0.0,0,0.0,0,0.0,0,0,0.0
Frankie Edgar,1.6764,135 ,68,Orthodox, 1981,3.7,39,2.7,66,2.28,31,65,0.3
Vincent Eazelle,1.8034,155 ,,, 1980,0.0,0,0.0,0,0.0,0,0,0.0
Ross Ebanez,1.7526,154 ,,Southpaw, 1975,0.74,50,0.74,62,3.7,100,0,0.0
Mark Eddiva,1.7271999999999998,145 ,68,Orthodox, 1986,3.37,45,2.98,54,1.45,22,63,0.0
Abdul-Kerim Edilov,1.8796,205 ,,Orthodox, 1991,10.22,61,0.13,92,3.98,100,0,2.0
Brian Ebersole,1.8288,170 ,73,Southpaw, 1980,2.32,49,2.14,56,1.7,23,61,0.1
Yves Edwards,1.7526,155 ,73,Southpaw, 1976,2.91,42,2.34,66,0.76,53,69,0.7
Johnny Eduardo,1.7018,135 ,71,Orthodox, 1978,2.89,38,3.34,63,0.0,0,62,0.5
Justin Edwards,1.778,155 ,70,Orthodox, 1983,2.68,42,3.32,51,2.14,26,27,1.0
Adli Edwards,,145 ,,, 1989,0.0,0,0.0,0,0.0,0,0,0.0
Leon Edwards,1.8796,170 ,74,Southpaw, 1991,2.53,47,2.05,55,1.39,31,70,0.4
Te Edwards,1.7271999999999998,155 ,72,Orthodox, 1990,1.5,41,4.15,44,0.72,100,44,0.0
Tom Egan,1.8034,170 ,,Orthodox,,0.0,0,3.91,50,0.0,0,28,0.0
Jon Olav Einemo,1.9811999999999999,253 ,,Orthodox, 1975,2.15,52,3.05,52,1.73,55,43,0.0
Stephanie Egger,1.6764,135 ,68,Orthodox, 1988,0.67,31,1.33,52,1.0,16,40,0.0
Justin Eilers,1.8541999999999998,235 ,,Orthodox, 1978,2.86,43,5.66,49,0.82,25,50,0.0
Per Eklund,1.778,155 ,72,Orthodox,,2.07,61,2.38,67,2.07,11,50,3.6
John Elam,,,,,,0.0,0,0.0,0,0.0,0,0,0.0
John Paul Elias,1.9304,205 ,,,,0.0,0,0.0,0,0.0,0,0,0.0
Saul Elizondo,1.7018,135 ,,, 1985,2.07,30,4.93,48,2.0,100,66,1.0
Eddy Ellis,1.7526,170 ,,Orthodox,,3.4,69,1.53,68,4.0,66,50,2.0
Lisa Ellis,1.6256,115 ,,, 1982,1.68,48,2.32,57,4.19,63,50,0.6
Joe Ellenberger,1.7526,155 ,72,Orthodox, 1985,1.62,47,3.45,48,3.17,40,0,1.1
Tim Elliott,1.7018,125 ,66,Southpaw, 1986,3.5,45,2.64,59,4.02,48,58,1.2
Jake Ellenberger,1.7526,170 ,71,Orthodox, 1985,2.47,39,2.83,60,2.04,47,86,0.4
Darren Elkins,1.778,145 ,71,Orthodox, 1984,3.5,38,3.08,52,2.7,33,58,1.2
Aaron Ely,1.7271999999999998,135 ,,, 1989,0.82,15,0.66,69,2.47,100,50,4.9
Cameron Else,1.7526,135 ,71,Switch, 1987,1.92,36,5.58,58,0.0,0,0,0.0
Anna Elmose,1.6001999999999998,115 ,,Orthodox, 1984,3.68,49,4.64,56,0.0,0,33,0.0
Sovannahry Em,1.6256,135 ,,, 1992,0.0,0,0.0,0,0.0,0,0,0.0
Ramazan Emeev,1.778,170 ,76,Southpaw, 1987,2.29,43,1.79,68,2.0,25,72,0.6
Aleksander Emelianenko,1.9811999999999999,255 ,,Orthodox, 1981,2.75,41,1.7,65,2.32,72,66,0.9
Fedor Emelianenko,1.8288,230 ,74,Orthodox, 1976,3.18,51,1.0,63,2.0,63,82,1.9
Jamall Emmers,1.778,145 ,74,Orthodox, 1989,5.75,52,4.65,54,2.9,53,100,0.0
Rob Emerson,1.7526,155 ,70,Orthodox, 1981,2.5,30,2.83,64,2.02,52,65,0.4
Marius Enache,1.8034,155 ,,, 1975,1.71,34,0.66,84,3.94,100,0,3.9
Oliver Enkamp,1.8288,170 ,77,Switch, 1991,2.38,36,3.55,37,0.87,16,0,0.0
Kevin Engel,1.8796,170 ,,,,0.0,0,0.0,0,0.0,0,0,0.0
Josh Emmett,1.6764,145 ,70,Orthodox, 1985,4.32,39,4.02,63,1.43,47,50,0.1
Alex Enlund,1.778,145 ,,Orthodox, 1987,0.0,0,0.0,0,0.0,0,0,0.0
Kenny Ento,1.8796,192 ,,,,8.41,79,0.0,100,5.49,100,0,11.0
Ian Entwistle,1.651,135 ,,Orthodox, 1986,0.11,7,7.36,31,0.0,0,0,12.1
Andy Enz,1.905,185 ,78,Orthodox, 1991,3.51,23,5.32,57,0.0,0,58,0.0
Won Jin Eoh,1.7018,160 ,,Orthodox,,3.74,44,3.58,46,0.0,0,50,0.0
Tom Erikson,1.905,280 ,,Orthodox,,0.94,47,1.87,25,4.68,60,100,6.2
Konstantin Erokhin,1.8034,230 ,,Orthodox, 1983,1.07,36,1.83,47,0.0,0,70,0.0
Josh Epps,,130 ,,, 1986,0.0,0,0.0,0,0.0,0,0,0.0
Nick Ertl,1.7526,155 ,,,,1.34,69,1.59,41,1.88,50,0,0.0
Julian Erosa,1.8541999999999998,145 ,74,Southpaw, 1989,4.92,46,5.67,50,1.34,54,58,0.9
Chel Erwin-Davis,1.8288,170 ,,,,4.06,54,1.13,61,4.25,100,50,1.4
Evan Esguerra,,145 ,,,,0.0,0,0.0,0,0.0,0,0,0.0
Juan Espino,1.905,250 ,80,, 1980,4.32,80,0.54,42,14.19,77,0,6.1
Carla Esparza,1.5493999999999999,115 ,63,Orthodox, 1987,2.29,42,2.85,53,3.44,35,48,0.3
Jordan Espinosa,1.6764,125 ,69,Orthodox, 1989,4.99,53,3.23,58,0.92,28,90,0.2
Pro Escobedo,,205 ,,,,0.0,0,0.0,0,0.0,0,0,0.0
Eric Esch,1.8034,350 ,,Orthodox, 1968,3.07,71,1.74,43,0.0,0,0,2.0
Bobby Escalante,,130 ,,,,0.0,0,0.0,0,0.0,0,0,0.0
Terry Etim,1.8541999999999998,155 ,73,Orthodox, 1986,2.16,35,2.53,67,0.43,30,39,1.4
Jodie Esquibel,1.5493999999999999,115 ,64,Orthodox, 1986,4.1,31,7.37,52,0.75,21,83,0.0
Fred Ettish,1.8288,180 ,,Southpaw,,0.0,0,0.0,0,0.0,0,0,0.0
Scott Ettling,,135 ,,,,0.0,0,0.54,83,8.04,100,0,0.0
Efrain Escudero,1.7526,155 ,71,Orthodox, 1986,2.92,44,2.3,63,1.31,40,66,0.8
Sijara Eubanks,1.6256,135 ,67,Orthodox, 1985,4.52,43,3.69,57,1.88,46,65,0.4
Billy Evangelista,1.7271999999999998,155 ,68,Orthodox, 1980,4.51,40,3.96,61,1.6,19,61,0.2
Doug Evans,1.7526,155 ,,Orthodox, 1980,1.79,35,2.55,55,3.19,83,69,0.6
Ashlee Evans-Smith,1.7271999999999998,135 ,67,Orthodox, 1987,4.54,34,4.69,55,1.1,23,66,0.0
Rashad Evans,1.8288,205 ,75,Orthodox, 1979,2.14,37,2.42,63,2.98,44,73,0.0
Dan Evensen,1.905,250 ,,Orthodox, 1974,0.27,10,3.86,38,0.0,0,0,4.0
Neal Ewing,,185 ,,, 1985,2.27,60,1.93,48,5.0,62,0,0.0
Movsar Evloev,1.7018,145 ,72,Orthodox, 1994,4.44,43,2.76,65,3.0,33,68,0.0
Andre Ewell,1.7271999999999998,135 ,75,Southpaw, 1988,4.5,41,4.2,54,0.17,50,73,0.0
Tonya Evinger,1.7018,135 ,70,Orthodox, 1981,1.16,42,4.02,38,0.93,30,33,0.9
Cole Escovedo,1.7018,135 ,72,Orthodox, 1981,1.77,43,4.32,49,0.43,33,13,0.0
Edward Faaloloto,,155 ,70,, 1984,2.28,32,6.25,44,1.01,25,33,0.0
Jessica Eye,1.6764,125 ,66,Orthodox, 1986,3.65,36,3.54,58,0.4,45,56,0.6
Melinda Fabian,1.6764,125 ,66,, 1987,4.03,41,4.0,62,0.0,0,100,0.0
Ron Faircloth,1.7526,205 ,,Orthodox, 1979,0.39,40,8.9,42,0.0,0,0,0.0
Bartosz Fabinski,1.8288,170 ,75,Orthodox, 1986,2.2,69,1.35,53,7.08,69,80,0.0
Jason Fairn,1.8541999999999998,230 ,,,,0.0,0,0.0,0,0.0,0,0,0.0
Wagnney Fabiano,1.6764,145 ,69,Southpaw, 1975,1.19,38,0.66,70,3.44,64,100,0.4
Maiquel Falcao,1.8034,185 ,,Orthodox, 1981,1.67,55,0.53,86,1.0,100,71,3.0
Urijah Faber,1.6764,135 ,67,Orthodox, 1979,2.65,40,2.59,64,1.54,30,58,0.8
Zarah Fairn,1.7271999999999998,145 ,72,Orthodox, 1986,1.98,45,6.61,39,0.0,0,50,0.0
Joao Paulo Faria,1.7526,155 ,,,,6.69,64,2.09,85,1.25,50,0,1.2
Brodie Farber,1.8541999999999998,170 ,,Orthodox, 1980,1.69,45,2.17,53,0.9,50,20,0.9
Kalindra Faria,1.7018,125 ,,Switch, 1986,2.23,56,1.44,45,1.31,66,20,0.7
Chance Farrar,1.7526,145 ,,Southpaw, 1975,0.81,22,2.21,67,3.02,100,0,0.0
Rodney Faverus,1.8288,215 ,,Southpaw,,2.3,53,1.6,54,4.5,100,25,0.0
Kelly Faszholz,1.7271999999999998,135 ,,Orthodox, 1985,4.01,48,3.61,52,0.0,0,44,0.0
Paul Felder,1.8034,155 ,70,Orthodox, 1984,3.7,44,3.44,48,0.29,28,64,0.2
JP Felty,,170 ,,, 1979,0.0,0,0.0,0,0.0,0,0,0.0
Carlos Felipe,1.8288,245 ,75,Orthodox, 1995,4.07,40,4.03,51,0.0,0,62,0.0
Kevin Ferguson,1.8796,235 ,77,Orthodox, 1974,2.3,50,3.41,38,3.1,72,36,1.2
Rhadi Ferguson,1.7018,205 ,,,,0.0,0,0.0,0,0.0,0,0,0.0
Tony Ferguson,1.8034,155 ,76,Orthodox, 1984,5.46,45,3.94,59,0.45,42,70,1.1
Josh Ferguson,1.651,125 ,,Orthodox, 1988,2.13,43,4.18,32,0.59,11,54,0.0
Alexandre Ferreira,1.7018,205 ,,Orthodox, 1979,2.57,60,8.14,42,0.0,0,0,0.0
CJ Fernandes,1.8796,170 ,,, 1977,0.0,0,0.0,0,0.0,0,0,0.0
Bibiano Fernandes,1.7018,139 ,,Orthodox, 1980,2.91,40,2.02,72,3.97,53,77,0.6
Rico Farrington,1.9304,170 ,79,Southpaw, 1989,6.33,41,7.2,51,0.0,0,20,0.0
Cezar Ferreira,1.8541999999999998,185 ,78,Southpaw, 1985,1.9,42,2.44,53,2.69,53,84,0.5
Timo Feucht,1.905,205 ,79,Orthodox, 1996,0.0,0,0.0,0,0.0,0,0,0.0
Diego Ferreira,1.7526,155 ,74,Orthodox, 1985,5.07,36,3.11,61,1.04,27,70,1.0
Scott Ferrozzo,1.8034,323 ,,Orthodox, 1965,0.0,0,0.0,0,0.0,0,0,0.0
Drew Fickett,1.778,155 ,70,Orthodox, 1979,2.33,41,2.29,57,1.3,35,30,2.2
Scott Fiedler,1.9304,235 ,,Orthodox,,0.0,0,0.0,0,0.0,0,0,0.0
Ron Fields,1.8796,200 ,,Orthodox, 1974,0.33,33,2.64,11,0.0,0,0,0.0
Francisco Figueiredo,1.6764,135 ,,, 1989,0.0,0,0.0,0,0.0,0,0,0.0
Edwin Figueroa,1.7018,135 ,69,Orthodox, 1984,2.57,39,3.06,51,0.2,100,37,0.6
Anthony Figueroa,1.6256,135 ,,Orthodox,,2.37,48,3.77,49,0.0,0,58,0.0
Paulo Filho,1.7271999999999998,185 ,,Southpaw, 1978,1.86,48,1.67,66,2.4,32,42,1.6
Deiveson Figueiredo,1.651,125 ,68,Orthodox, 1987,3.38,56,3.35,50,1.57,50,61,2.4
Andre Fili,1.8034,145 ,74,Orthodox, 1990,3.73,36,3.9,52,2.5,49,64,0.2
Brady Fink,1.8288,183 ,,Orthodox,,1.69,41,1.69,61,3.63,25,0,3.6
Mirko Filipovic,1.8796,230 ,73,Southpaw, 1974,2.11,50,1.89,63,0.19,40,78,0.3
Jesse Finney,1.8288,170 ,,, 1974,0.0,0,0.0,0,0.0,0,0,0.0
Luiz Firmino,1.6764,154 ,,Orthodox, 1982,1.23,50,1.22,51,3.86,45,20,0.9
Jan Finney,1.7271999999999998,135 ,,Orthodox,,2.16,28,8.75,42,0.77,11,25,0.0
Chris Fishgold,1.7271999999999998,145 ,68,Orthodox, 1992,2.01,32,2.7,46,2.59,46,44,1.3
Luigi Fioravanti,1.7271999999999998,170 ,70,Orthodox, 1981,2.23,42,2.21,69,3.76,63,67,0.9
Jon Fitch,1.8288,170 ,74,Orthodox, 1978,2.61,50,1.65,54,3.6,51,56,0.8
Bryanna Fissori,1.6256,145 ,,,,1.4,46,1.2,57,2.0,25,50,0.0
Spencer Fisher,1.7018,155 ,68,Southpaw, 1976,3.17,43,3.03,64,0.67,30,60,0.8
Ty Flores,1.905,205 ,73,Switch, 1993,2.0,37,7.8,25,1.0,9,0,0.0
Colin Fletcher,1.8796,155 ,,Orthodox, 1983,3.1,34,2.97,62,0.0,0,27,0.0
Luke Flores,1.8288,155 ,73,Southpaw, 1988,1.56,44,1.88,60,0.0,0,40,1.2
Jimmy Flick,1.7018,125 ,68,Orthodox, 1990,1.99,58,2.3,50,1.81,50,0,7.2
Rafael Fiziev,1.7271999999999998,155 ,71,Switch, 1993,4.67,57,4.17,55,0.84,50,100,0.0
Cody Floyd,,,,, 1988,0.0,0,0.0,0,0.0,0,0,0.0
Bobby Flynn,,170 ,,,,0.38,25,0.77,0,0.0,0,0,0.0
Mal Foki,1.7018,220 ,,Orthodox,,2.86,14,14.29,54,0.0,0,0,0.0
Caros Fodor,1.7526,155 ,74,Orthodox, 1984,2.76,54,2.83,54,2.1,25,50,0.0
Matt Foki,1.7018,220 ,,Orthodox,,0.0,0,3.37,56,0.0,0,0,0.0
AJ Fonseca,1.6256,145 ,,,,0.0,0,0.0,0,0.0,0,0,0.0
Rob Font,1.7271999999999998,135 ,71,Orthodox, 1987,5.21,42,3.83,62,1.2,36,48,0.8
Claudionor Fontinelle,1.651,185 ,,Orthodox,,2.62,42,10.25,28,0.0,0,0,0.0
Sterling Ford,1.778,155 ,,, 1986,0.0,0,0.0,0,0.0,0,0,0.0
Alejandro Flores,1.778,145 ,73,Orthodox, 1991,3.66,40,2.02,54,0.0,0,0,0.0
Codale Ford,1.7526,170 ,,, 1979,0.0,0,0.0,0,0.0,0,0,0.0
Jesse Forbes,1.8796,185 ,75,Southpaw, 1984,2.11,24,4.06,53,1.79,75,66,1.2
Jussier Formiga,1.651,125 ,67,Orthodox, 1985,1.42,39,2.34,64,1.82,35,87,0.6
Renee Forte,1.7018,155 ,71,Orthodox, 1987,2.08,32,2.12,63,2.32,58,66,0.0
Brian Foster,1.7526,170 ,71,Orthodox, 1984,3.3,39,1.63,65,3.67,60,37,1.8
Marcel Fortuna,1.8541999999999998,205 ,74,Orthodox, 1985,3.83,46,4.52,64,0.45,8,75,0.5
Mason Fowler,1.8034,170 ,,,,0.0,0,0.0,0,0.0,0,0,0.0
Brandon Foxworth,1.8034,145 ,,Orthodox, 1979,1.33,32,4.59,50,0.0,0,0,0.0
Xavier Foupa-Pokam,1.8541999999999998,185 ,,Open Stance, 1982,1.47,43,2.5,49,0.0,0,16,0.0
Glaico Franca Moreira,1.8288,155 ,77,Orthodox, 1991,2.35,42,3.46,47,2.68,42,76,0.3
Hermes Franca,1.6764,155 ,71,Orthodox, 1974,1.78,39,2.85,55,1.53,36,37,2.4
Kenny Florian,1.778,145 ,74,Southpaw, 1976,2.41,40,1.85,63,2.22,33,60,1.3
Francisco France,1.8288,205 ,,, 1983,0.54,33,3.51,27,0.0,0,0,6.1
Zoila Frausto,1.6256,135 ,,Orthodox,,0.77,31,1.64,53,0.0,0,57,0.0
John Franchi,1.6764,145 ,67,Orthodox, 1982,1.83,48,2.59,48,2.68,80,40,0.3
Stephanie Frausto,1.5748,115 ,61,Orthodox, 1990,1.43,21,3.57,60,0.0,0,0,0.0
Gary Frazier,1.8288,245 ,,Orthodox,,1.5,39,2.77,46,0.0,0,100,0.0
Zane Frazier,1.9558,250 ,,Orthodox,,0.0,0,0.0,0,0.0,0,0,0.0
Justin Frazier,1.8288,265 ,75,Southpaw, 1989,1.11,66,6.11,4,0.0,0,0,0.0
Rich Franklin,1.8541999999999998,185 ,76,Southpaw, 1974,4.1,44,2.07,62,1.31,66,63,0.7
Patricio Freire,1.651,145 ,65,, 1987,2.84,41,4.43,60,0.6,18,94,0.6
Patricky Freire,1.7018,155 ,71,, 1986,3.06,44,3.34,69,1.26,33,100,0.0
Jeremy  Freitag,1.8541999999999998,205 ,,,,0.0,0,8.37,19,0.0,0,33,1.9
Willamy Freire,1.7271999999999998,155 ,,, 1987,1.53,37,0.93,62,0.5,100,73,0.0
Ian Freeman,1.8034,225 ,,Orthodox, 1966,2.54,48,3.11,44,1.44,40,80,0.7
Jason Freeman,1.8796,225 ,,, 1976,0.0,0,0.0,0,0.0,0,0,0.0
Donavon Frelow,1.7018,135 ,,Orthodox, 1985,2.4,27,3.2,52,1.0,100,26,0.0
Rafael Freitas,,205 ,,Orthodox,,2.0,29,8.0,51,11.25,50,0,0.0
Sarah Frota,1.6764,125 ,69,Southpaw, 1987,4.52,52,2.57,55,0.0,0,53,0.0
Tony Fryklund,1.8288,185 ,,Orthodox, 1971,3.49,39,6.5,43,0.0,0,66,0.5
Don Frye,1.8541999999999998,219 ,,Orthodox, 1965,2.87,64,3.57,37,0.91,57,45,0.7
Jesse Fujarczyk,1.9304,225 ,,Southpaw, 1983,1.03,33,4.91,38,0.0,0,25,0.0
Matt Frevola,1.7526,155 ,71,Orthodox, 1990,3.19,39,3.47,60,3.3,40,75,1.4
Mike French,1.778,145 ,,, 1975,0.23,23,2.17,42,0.0,0,22,1.0
Megumi Fujii,1.6001999999999998,113 ,,, 1974,2.4,42,0.0,100,0.0,0,0,12.0
Katsuhisa Fujii,1.8288,205 ,,Orthodox, 1972,4.0,50,4.43,64,2.14,25,50,2.1
Clay French,1.7018,161 ,,Southpaw, 1980,1.52,50,1.27,16,0.0,0,100,0.0
Jinh Yu Frey,1.6001999999999998,115 ,65,Southpaw, 1985,1.9,48,4.05,42,0.55,25,83,0.0
Masio Fullen,1.778,145 ,70,Orthodox, 1986,2.46,32,3.5,54,0.47,33,69,0.0
Travis Fulton,1.8288,240 ,,Orthodox, 1977,0.0,0,0.0,0,0.0,0,0,0.0
Keisuke Fujiwara,1.6764,139 ,,Switch,,0.73,44,1.2,47,0.0,0,23,2.5
Riki Fukuda,1.8288,185 ,73,Southpaw, 1981,4.24,43,3.71,64,2.17,43,70,0.0
Kazuyuki Fujita,1.8288,235 ,,Orthodox, 1970,1.05,49,1.99,52,2.78,36,85,0.6
Sam Fulton,,,,,,0.0,0,0.0,0,0.0,0,0,0.0
Artem Frolov,1.778,185 ,,, 1991,0.0,0,0.0,0,0.0,0,0,0.0
Masakatsu Funaki,1.8288,185 ,,Southpaw, 1969,1.82,68,2.92,35,0.0,0,0,5.5
Katsuaki Furuki,1.8288,168 ,,, 1980,0.27,10,2.67,39,0.0,0,0,3.0
Ricardo Funch,1.778,170 ,74,Southpaw, 1980,2.61,65,3.57,40,1.24,18,60,0.0
Gustavo Gabriel,1.6764,125 ,,Orthodox, 1994,4.06,65,4.26,46,0.0,0,50,0.0
Claudia Gadelha,1.6256,115 ,63,Orthodox, 1988,3.31,41,4.57,57,3.03,42,58,0.7
James Gabert,,178 ,,,,0.0,0,0.0,0,0.0,0,0,0.0
Alavutdin Gadjiev,1.8796,185 ,,Orthodox, 1982,0.99,27,0.99,57,0.0,0,50,0.0
Justin Gaethje,1.8034,155 ,70,Orthodox, 1988,7.46,59,7.99,55,0.0,0,69,0.0
Muin Gafurov,1.7018,135 ,,, 1996,0.0,0,0.0,0,0.0,0,0,0.0
Zelg Galesic,1.8796,185 ,,Orthodox, 1979,4.86,62,0.61,66,1.3,100,20,1.3
