Name,HEIGHT,WEIGHT,REACH,STANCE,DOB,SLpM,Str. Acc..,SApM,Str. Def,TD Avg,TD Acc,TD Def.,Sub. Avg
Amir Aliakbari,1.905,250 ,,, 1984,0.0,0,0.0,0,0.0,0,0,0.0
Royce Alger,1.778,199 ,,Orthodox,,0.0,0,0.0,0,0.0,0,0,0.0
George Allen,1.8796,205 ,,Open Stance, 1967,0.8,38,3.1,43,0.0,0,50,0.0
Sultan Aliev,1.8034,170 ,74,Orthodox, 1984,1.41,45,2.2,56,1.76,38,100,0.0
Ben Alloway,1.8034,170 ,76,Orthodox, 1981,1.28,49,1.9,59,0.62,50,26,0.0
Arnold Allen,1.7271999999999998,145 ,70,Southpaw, 1994,3.19,41,2.0,67,1.36,52,76,0.5
Brendan Allen,1.8796,185 ,75,Orthodox, 1995,3.55,59,4.57,39,1.17,37,50,2.0
Estefani Almeida,1.6256,125 ,,Orthodox, 1988,3.13,37,6.07,42,0.0,0,0,0.0
Sarah Alpar,1.6256,135 ,63,Southpaw, 1991,2.11,54,4.76,32,2.69,28,50,0.7
Ericka Almeida,1.6764,115 ,,Orthodox, 1989,1.07,39,3.33,43,0.5,33,37,0.0
Ricardo Almeida,1.8288,170 ,74,Orthodox, 1976,2.02,49,1.2,61,3.74,38,31,1.2
Magno Almeida,1.8288,155 ,,, 1985,1.67,36,2.6,41,0.0,0,40,5.0
Mauricio Alonso,1.8796,170 ,,, 1980,5.74,34,1.91,67,0.0,0,0,0.0
Thomas Almeida,1.7018,145 ,70,Southpaw, 1991,5.39,44,4.69,64,0.0,0,75,0.0
Ali AlQaisi,1.6764,135 ,68,Orthodox, 1990,2.43,42,1.97,56,3.5,29,60,1.0
Eddie Alvarez,1.7526,155 ,69,Orthodox, 1984,4.32,41,4.39,55,2.92,36,92,0.5
Jaime Alvarez,1.7271999999999998,125 ,69,Orthodox, 1988,2.73,40,4.53,56,1.0,33,50,0.0
Mike Altman,1.778,185 ,,Orthodox,,1.56,20,2.08,75,0.0,0,0,0.0
Rico Altamirano,1.778,170 ,,,,0.0,0,0.0,0,0.0,0,0,0.0
Thiago Alves,1.7526,170 ,70,Orthodox, 1983,3.73,41,3.42,62,0.71,60,63,0.3
Joel Alvarez,1.905,155 ,77,Orthodox, 1994,2.84,37,3.31,53,0.0,0,0,1.6
Sean Alvarez,1.8288,235 ,,Orthodox, 1971,0.89,37,3.25,47,0.0,0,0,0.0
Amilcar Alves,1.8288,170 ,,Southpaw, 1988,0.5,46,2.02,30,0.0,0,53,0.0
Sam Alvey,1.8796,205 ,75,Southpaw, 1986,3.17,44,3.26,55,0.08,16,82,0.1
Anthony Alves,,,,,,0.0,0,0.0,0,0.0,0,0,0.0
Warlley Alves,1.8034,170 ,72,Orthodox, 1991,3.01,46,3.69,50,1.39,52,75,1.0
Adlan Amagov,1.8796,170 ,76,Orthodox, 1986,3.29,47,0.82,78,5.84,56,100,0.0
